state_name,X_STATE,IYEAR,n_obs,n_disabled,pct_disabled,n_lackAccess,pct_lackAccess,n_hlthNeed,pct_hlthNeed,n_unmetNeed,pct_unmetNeed,n_DisUnmetNeed,pct_DisUnmetNeed,Population,Poverty Rate,Unemployment rate,Personal income,State Minimum Wage,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Food Stamp/SNAP Recipients,SSI recipients,Medicaid beneficiaries,WIC participation,SBP Total Participation,Fraction of the Year ACA Expansion
KS,20,2019,10155,518360.21320762404,0.27729436203346014,652082.9851774214,0.3316989595047817,1114434.2267115556,0.9830526976836383,355973.8132992248,0.32089059391984714,169488.52951905227,0.37867851043428485,2913314,9.5,3.2,155647600,7.25,25.24773,13.86726,3.53584,185329,47364,341484,48536,124469,0
KS,20,2020,11794,642567.8346385619,0.27111862371451795,794870.1109314767,0.3244951514377545,1344423.0991052487,0.987973888982633,413342.3588352877,0.30940180555827185,184045.67906933598,0.34249019108529555,2938172,9.3,5.8,162277200,7.25,18.31627,9.82118,5.2187,200443,47245,369807,46807,98941,0
KS,20,2021,17137,583063.0556797214,0.2818587436424593,506859.2522455498,0.2422994017030101,1254830.8987776416,0.9842376202579662,286622.17292051844,0.2362075241733144,140574.8276029532,0.28734191434853024,2938338,7.1,3.4,173977000,7.25,16.46077,8.98536,1.46498,200344,46419,414994,44368,23922,0
KS,20,2022,11351,635994.2519938893,0.29687487126816625,553945.1783082952,0.2538629138790208,1311613.9241268183,0.987964361444088,303984.8146544091,0.24076736600358387,156487.94938957263,0.2977783189010222,2937324,10.5,2.7,181747000,7.25,19.71084,10.4883,4.57896,195799,45594,451923,44209,160070,0
KS,20,2023,9670,641365.9207551607,0.3068687327483136,547572.262332448,0.25863639700255836,1307296.4002090287,0.9872673338719402,331900.65125228884,0.2616005114921067,167131.01171501915,0.31181766179571385,2951500,8.8,2.9,187457300,7.25,21.43405,11.38363,3.56435,186985,44685,436501,46374,123360,0
KS,20,2024,9793,608321.6912082919,0.3083015285077617,539159.8241300256,0.26908577722756416,1221563.6717604995,0.9836104675620887,302714.07492344605,0.25478104529599693,156141.42057759053,0.3071598555754111,2970606,7.4,3.6,195633000,7.25,24.02081,14.7048,4.55899,187043,44507,389333,48221,127542,0
NA,20,2025,1744,105432.85831380723,0.3030914075468646,97361.96251390103,0.27696869461409557,213347.58754111658,0.9921460816696209,51805.9962691261,0.25276105229030105,25251.197200990573,0.2887573124215722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KY,21,2017,8381,1180895.3957076855,0.3643429281591414,967781.73640969,0.2915263798899704,2053044.050874792,0.9789096836648146,550857.2734417662,0.2702605881707313,304553.1318457424,0.29324669659653774,4452268,14.4,4.9,182116000,7.25,23.01223,13.27318,5.34975,654873,177903,1341670,107885,311921,0
KY,21,2018,6865,972188.1082032046,0.37052087156220254,847322.9627761673,0.31502800873795067,1669922.82566672,0.9864416708671273,494971.36716771073,0.29694158075975646,270881.02071545634,0.31373184955647465,4461153,15.7,4.3,188876800,7.25,25.63094,16.05723,5.2693,615305,174203,1328039,101743,317906,0
KY,21,2019,8558,1369800.5329434415,0.37172326702244807,1051923.4162977715,0.2789754110073841,2444198.067106253,0.989494189888772,601618.601862177,0.24812103616913608,324171.2650218218,0.2662423622114728,4467673,13.6,4.3,195548800,7.25,25.63775,15.1726,4.41089,502241,171506,1289799,94296,327565,0
KY,21,2020,4229,1069604.1828254547,0.35500047971866155,937042.2040216113,0.3029669831774327,1972836.0908344311,0.9876004255655235,515528.498510154,0.26360719242574776,250547.25373552233,0.2665614370535405,4508318,13.9,6.5,212278200,7.25,21.51719,13.51601,5.02655,555425,167814,1417316,98091,229088,0
KY,21,2021,5830,1456936.4045174262,0.38997688801132285,925947.6617789849,0.2456888941964637,2447424.769775622,0.9883629171791847,529074.2895017322,0.22169568056466132,295166.80634134356,0.2369107911423693,4507583,16.2,4.5,234113400,7.25,17.02508,10.44142,4.63803,597747,161145,1571791,107477,35929,0
KY,21,2022,4655,1403988.0705711502,0.35450982687262683,843098.1950536759,0.21403080192847035,2525224.8552158237,0.9906414185178374,519494.4056716922,0.21230616947873585,304768.48492692306,0.25727974290985756,4519233,17.1,4,237842600,7.25,25.24871,18.47523,6.69324,541623,156464,1528932,108667,310638,0
KY,21,2023,32,22623.50727058644,0.5179139135535111,10028.136878025518,0.22957146096003422,33940.85023311715,1,6870.731016954609,0.20243249564357177,5408.748735754095,0.23907649114981325,4550595,13.6,4.3,253319500,7.25,32.6082,16.82989,6.35772,554221,153857,1580286,115451,311456,0
KY,21,2024,7384,1234972.0039079555,0.3750440527772568,883983.6192540431,0.2628239798509226,2373641.649971812,0.9921111152363334,532273.240153804,0.2353063212218801,285542.6119375882,0.27754040135270164,4588372,15.6,5.1,267297900,7.25,36.83805,25.34511,9.68186,599910,153020,1394715,105447,316882,0
NA,21,2025,86,7241.625823359439,0.24209704906295085,12092.396417429267,0.3547527969349677,19315.09918480962,0.997672754580008,7212.69857988011,0.3842048855406348,280.3719946087619,0.05456671482220487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LA,22,2017,4613,1071928.4991195325,0.33157089765147324,1267166.9963010652,0.3710485691733537,2042160.5259808144,0.9827578681171433,709728.5248519855,0.35038780071874354,362232.21205313085,0.3863621630126306,4670560,21.4,5.1,205188000,7.25,28.44078,18.01941,6.59747,928962,177306,1624541,119747,283969,1
LA,22,2018,4513,1052866.6283885993,0.3455065916226674,1137650.2998106382,0.3605240753360416,1932414.6093752512,0.9787272610641252,645016.402808062,0.337858603970005,328253.6593652031,0.36790936016750514,4659690,19,4.9,215308700,7.25,23.26351,14.55881,6.31892,867342,175215,1638252,112362,290707,1
LA,22,2019,5181,1270699.3712721183,0.35066080366365887,1386256.0387792704,0.36197587584098556,2388015.011154766,0.9833021464611527,808009.0964711516,0.34178249224186596,409374.77620408125,0.3781900588179282,4648794,17.9,4.8,220629700,7.25,27.62156,14.0651,5.23554,749560,173521,1577893,103207,295482,1
LA,22,2020,4369,1023407.6570729192,0.33367375327054277,1081744.839219835,0.33607107679747705,1984239.6029899828,0.9766264407793908,618491.9174892153,0.3176652028160537,285267.7983522953,0.3411202400173835,4652301,15.5,8.6,233449500,7.25,28.77825,16.99786,5.77283,830750,170048,1698669,94034,218448,1
LA,22,2021,5228,1238103.5459302631,0.36125082966115674,923969.8836759077,0.2610388759746376,2388621.3784297053,0.9847118294657047,586603.1569013449,0.25709299328881136,313070.2331321451,0.2972535010261469,4627971,18.4,5.6,255091500,7.25,21.98378,13.24019,3.48853,924723,164118,1880815,88415,35379,1
LA,22,2022,5339,1188462.879400892,0.3704772835619327,851505.43590301,0.26013023241960487,2192822.8378685582,0.9855242386283624,502936.6469856316,0.24107678865840687,269029.45791148214,0.2753780160830203,4593687,16.9,3.7,254415500,7.25,27.36833,18.16341,7.8727,822649,160538,1976085,84438,283375,1
LA,22,2023,6276,1411210.1701752583,0.3702807959890824,982736.6557729868,0.253145167375747,2624728.405748547,0.9836289791140171,622713.4479220097,0.24721351655471516,310752.80985939363,0.26467134268194625,4588071,21.5,3.7,270677400,7.25,28.73811,19.07584,6.21982,896551,157219,2053888,91668,274534,1
LA,22,2024,4222,1183268.0561155423,0.38239240019798393,825996.9845794967,0.26476500251416,2193120.1154780877,0.9831966667366964,560102.205745627,0.26620105564440133,302418.45489331626,0.29934248153196685,4597740,20,4.4,284587200,7.25,27.98541,15.50497,4.98425,847133,155482,1906799,98777,278082,1
NA,22,2025,337,81356.68028191352,0.33207152369732573,57315.1688027947,0.23366598079422912,173111.249009333,0.996984022045474,40575.83790420859,0.25152734446201686,14788.283942732047,0.23811024771781908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
