X,state_abbr,X_STATE,IYEAR,n_obs,n_disabled,pct_disabled,n_lackAccess,pct_lackAccess,n_hlthNeed,pct_hlthNeed,n_unmetNeed,pct_unmetNeed,n_DisUnmetNeed,pct_DisUnmetNeed,Population,Poverty_Rate,Unemployment_rate,Personal_income,State_Minimum_Wage,Marginally_Food_Insecure,Food_Insecure,Very_Low_Food_Secure,Food_Stamp_Recipients,SSI_recipients,Medicaid_beneficiaries,WIC_participation,SBP_Total_Participation,Medicaid_expansion,state_name
246,NJ,34,2022,8438,1647787.85354389,0.246700609969509,1676957.73750024,0.235712730907585,4030228.97730838,0.984974778290039,847586.829478134,0.221431948249648,348373.367294098,0.26753026185125,9295227,8.7,3.9,719848200,13,17.81094,8.73877,2.65786,857304,165162,2021523,146668,364350,1,new jersey
247,NJ,34,2023,9147,1616221.47156314,0.240550030611549,1667888.61004414,0.244650644965155,3938264.90653328,0.985467378839503,874325.950798064,0.234656420403113,368117.975528929,0.290464549921159,9379642,9,4.3,765228300,14.13,17.99593,11.11858,3.33827,771277,163661,2135594,162462,348164,1,new jersey
248,NJ,34,2024,8562,1660416.18089106,0.244990731017917,1783482.14853077,0.25962933747505,3998930.80304705,0.988947955039402,931850.192188495,0.244934014000392,402087.565972634,0.312960196145858,9500851,9.7,4.5,806558700,15.13,18.91488,9.20688,3.89984,827227,164578,1766535,162300,384581,1,new jersey
249,NM,35,2017,6414,444936.371532505,0.29995888244449,615598.033504268,0.398413679673104,880676.253008445,0.97875009411602,310360.534109199,0.35421911983744,150711.674084187,0.402765738107339,2091784,18.6,5.9,83141600,7.5,25.07995,15.37024,4.67104,460534,63667,896397,49975,149960,1,new mexico
250,NM,35,2018,6805,451516.686121388,0.289065670217196,668668.885944505,0.410766897418598,926813.677770849,0.979192573576863,323083.235394399,0.349590556558998,136426.777840025,0.357480935684776,2092741,16.6,4.9,87204600,7.5,28.18018,16.51497,5.30171,456251,62929,838445,46187,147137,1,new mexico
251,NM,35,2019,5671,429364.560015371,0.294257116883515,597587.924302706,0.398596907003803,855329.904170238,0.980142632079597,295482.527699621,0.346971195155795,130737.649563747,0.358345291486391,2096829,15.3,4.9,90846900,9,23.92023,13.52446,5.2442,415161,62071,825498,40485,141632,1,new mexico
252,NM,35,2020,7248,471209.96577675,0.286503255070723,648272.755876473,0.380576320713981,953815.384192633,0.98258920040155,292939.161987109,0.308363017194214,113888.365277018,0.288356132273911,2118606,16.6,7.9,98634300,9,19.58055,12.41807,4.75193,468745,60950,862131,40415,131352,1,new mexico
253,NM,35,2021,6243,496244.312729872,0.321694670778464,533559.816175077,0.336661466001682,926279.020190462,0.983565652985858,242015.536675756,0.264866762483783,113627.132995837,0.275346047608043,2117333,18,7.1,107674300,10.5,21.37091,11.17801,2.78008,520494,58427,933326,35996,84524,1,new mexico
254,NM,35,2022,4732,493156.373241923,0.31268181244401,550946.010004792,0.344119693167475,991565.20783098,0.988690975839464,287875.073955704,0.295860210879023,121998.815140918,0.292042523298222,2113868,20.2,4.1,112280300,11.5,25.88752,14.64903,4.27319,518799,56273,973484,34497,132793,1,new mexico
255,NM,35,2023,3077,502241.623229138,0.336643050749969,550396.935834314,0.35829644299249,961704.765390439,0.995699889831645,291883.731756863,0.308221202086027,134234.328582137,0.316689523318074,2121164,17.3,3.7,117634300,12,27.26492,16.02074,6.79986,488364,55293,936684,38257,127122,1,new mexico
